IdCiudad,NombreCiudad
6,El Refugio
7,Sigavé
9,Tver
5,Cortiçóis
9,Graz
1,Briteiros Santa Leocádia
7,Seseng
4,Shuangxiqiao
1,That Phanom
6,Świętajno
9,Banja Luka
4,Shuntian
5,Wahai
6,Xinzhou
6,Novopokrovka
4,Coaticook
10,Puyo
8,Xiaqiao
3,Leeuwarden
9,Tikhvin
3,Timoulilt
9,Szklarska Poręba
1,Beigong
10,Sembung
2,Sollefteå
4,Trongsa
4,Camasca
7,Sarband
2,Toulon
7,Arcos
2,Benjamin Constant
2,Āqchah
6,Genova
4,Lagoa Santa
2,Villa Altagracia
3,Mislak
8,Dolno Palčište
7,Sovetsk
6,Sapadun
2,Curug
7,Lolodorf
3,Tindog
1,Luorong
6,Cali
8,Sayyān
10,Kukichūō
4,Ocucaje
6,San Jorge
2,Sines
5,Pinsk
7,Zhangzhen
9,Parungjawa
6,Bibrka
7,Petřvald
4,Baiqi
7,Shanglian
9,Višňova
1,Stockholm
1,Datong
7,Jinhe
1,Shijing
1,Boavista
10,Dobříš
1,Khlong Toei
5,Nelson
7,Sanxiang
5,Şabrātah
3,Zhamog
8,Dijon
2,Nawal
3,San Carlos
4,Cileles
6,Lukolela
4,Jāti
8,Marseille
3,Banī Walīd
5,Bronx
3,Vareiá
5,Machinga
3,Comodoro Rivadavia
4,Bilovods'k
3,Dayr Mawās
7,Kaeng Khro
3,La Dorada
8,Vavatenina
10,Makuyuni
10,La Palma
10,Górki Wielkie
6,Stockholm
5,Yingcui
5,Zlonice
1,Kronshtadt
9,Fuzhou
6,Sungaikakap
1,Wangcun
5,Camachile
6,Changwon
7,Santa Rosa
5,Káto Dhiminió
3,Satipo
1,Shahe
4,Wenping
1,Al Ghandūrah
8,Biscoitos
6,Ždánice
9,Edéa
3,San Vicente
1,Māwiyah
5,Boujniba
2,Karakul’
3,Kawęczyn
1,Batobato
6,Kubachi
9,Dédougou
8,Warungawi
2,Viradouro
2,Birātnagar
2,Sunne
5,Urho
2,Karakol
1,Quince Mil
8,Nyangao
4,Trzcinica
3,Ugljevik
4,Gongdanglegi Kulon
10,Gufeng
9,Lewotola
3,Popielów
3,Nahariya
5,Marseille
4,At Taḩālif
10,Shuangyuan
8,Zhuyang
4,Stanovoye
10,Kolo
8,Kishkenekol’
7,Kalianda
1,São Pedro
2,Luokou
1,Kristinehamn
5,Guoxiang
10,Airmata
9,Lille
1,Großklein
8,Chaihu
1,Itabuna
10,Claresholm
3,Holýšov
2,Novovorontsovka
10,Chornukhyne
3,Pitangui
5,Bailan
9,Twardawa
7,Burträsk
1,Pueblo Nuevo
8,Zhongdeng
8,Yekimovichi
3,Pinoma
2,Barraute
4,Sala
7,Pasiragung
7,Dongzha
3,Socorro
8,Saint Augustine
5,Tujing
1,La Playosa
7,Dongtucheng
3,Konëvo
3,Louisville
8,Al Kittah
7,Zhumadian
8,Portachuelo
7,Lille
5,Tha Maka
2,Mostek
9,Huertas
3,Krásná Hora nad Vltavou
2,Tegalheras
10,Segodim
9,Novomoskovsk
2,Capinzal
5,Aizkraukle
8,Berlin
5,Korsze
8,Puerto Francisco de Orellana
8,Cerro Colorado
4,Žemaičių Naumiestis
5,Thị Trấn Bắc Yên
5,Kitami
3,Nageswari
7,Silca
4,Huangshi
6,Pocohuanca
3,Lin’an
3,Jelisavac
5,Cihideung Satu
10,Sarankhola
1,San Narciso
7,Ciénaga
6,Bader
3,Santo António da Charneca
4,Otan Aiyegbaju
5,Nadezhda
3,Cognac
10,Martinópolis
5,Bent Jbaïl
2,Söderhamn
1,Farnham
10,Jaú
7,Charlotte
5,Shanghuang
8,Strančice
10,Neyagawa
3,Sidamukti
3,Tanbuqiao
1,Jadów
10,Alfenas
8,Skopin
9,Pasarkuok
4,Wotsogo
4,Chengxi
4,Druju
6,Zawichost
1,Al Masallamiyya
9,Sioguí Abajo
2,Şabāḩ as Sālim
8,Al Jabīn
7,Saarbrücken
10,Shchëkino
3,Progreso
3,Mayingzhuang
9,Alexandria
3,Apalit
8,Cupira
1,Kavajë
2,Chengnan
2,Río Limpio
1,Agnibilékrou
7,Damāvand
5,Vogan
2,Kushikino
2,Marseille
9,Dartang
5,Parbatipur
10,Kiel
6,Arbais
5,Desa Kertasari
1,Kalamáta
1,Tuanjie
7,Garbów
10,Alangalang
5,Nogueira
2,Maluanluan
5,Kuala Lumpur
3,Touguinha
7,Bonavista
2,Bintulu
4,Zuhu
2,La Banda
9,Gorbatovka
10,Oslo
5,Aleksandrów
9,Yancheng
9,Ngã Bảy
4,Villeneuve-lès-Avignon
7,Dihtyari
8,Maqiu
6,Ngangguk
5,Luohe
8,Jombang
6,Baziqiao
1,La Esperanza
4,Xunzhai
3,Diébougou
4,Gunungtua
9,Cabanaconde
4,Barreiros
9,Villa Elisa
9,Duko
6,Catalina
3,Głubczyce
8,Masjed Soleymān
9,As Sulayyil
9,Hang Dong
4,Tonantins
2,Ilopango
9,Metlika
9,Tres Isletas
2,Mungwi
9,Portëz
2,Tiglauigan
5,Kayes
5,Zarechnyy
6,Malalag
3,Taoyuan
6,Xia Zanggor
3,Lumsden
10,Casais
10,Huta Stara B
8,Gunungmanik
10,Kawalimukti
6,Merdeka
8,Matang
8,Hamonggolele
9,Nanzamu
5,Krajan Tekung
6,Hufang
7,Tilamuta
8,Kang-neung
3,Albufeira
7,Lugu
5,Kamenskiy
8,Budapest
10,Penha
6,Guohe
5,Alcoutim
7,Leskolovo
4,Gurung
1,Chok Chai
10,Pitogo
4,eSikhawini
5,Rongmei
4,Huoqiu Chengguanzhen
1,Beishan
9,Sacramento
8,Sedayu
9,Xiaoyangqi
3,Lymanske
5,Hengli
10,Changqiao
8,Bergen
2,Hongqi
2,Prince Rupert
8,Cherepovets
3,Paico
1,Fengxizhai
8,Emmaboda
7,Mazeikiai
3,Ukmerge
7,Polo
5,Canalete
6,Mafinga
3,Makhalino
4,Bakau
6,Garisul
4,Livadiya
9,Dingqing
1,Sokarame
4,Wuhao
3,Neuilly-sur-Seine
10,Sepahua
8,Shangzhuang
8,Gaoqiao
7,Nová Paka
7,Vargem Grande do Sul
4,Sarvaš
4,Stari Bohorodchany
9,Tobol
3,Sumqayıt
3,Mooirivier
10,Tunggar
9,Jonava
3,Dolní Černilov
6,Miaoshou
2,Dolo
6,Goiatuba
5,Wilcza
10,Portela
9,Klavdiyevo-Tarasove
2,Youshan
10,Gāvbandī
9,Rancho Viejo
5,Az Ziyārah
8,Oxelösund
5,Mutatá
